KODE IJIN,NAMA IJIN
00000,Dilarang
01000,Dilarang
01001,NPIK Beras
01002,NPIK Gula
01003,NPIK Kedelai
01004,NPIK Jagung
01005,NPIK TPT
01006,NPIK Elektronik
01007,NPIK Sepatu
01008,NPIK Mainan Anak-anak
01009,IT Cakram Optik
01010,SPI Cakram Optik Isi/Kosong/Bahan Baku/Mesin dan Peralatan Mesin
01011,IP Limbah Non B3
01012,IP Bahan Berbahaya
01013,IP Plastik
01015,PI Cakram Optik Isi
01016,PI Cakram Optik Kosong
01017,PI Cakram Optik Mesin dan Peralatan Mesin
01021,IP Bahan Baku Plastik
01061,Surat Pendaftaran Barang
01062,Nomor Pendaftaran Barang
01099,Laporan Surveyor
01203,IP Beras
01204,IP BPO Non Metil Bromida
01208,IP Nitrocellulose
01209,IP Prekursor Non Farmasi
01210,IP Tekstil
01211,IP PCMX
01212,IP Pelumas
01213,IP Etilena
01214,IP Garam Konsumsi
01215,IP Garam Industri
01216,IP Gula Kristal Rafinasi
01217,IP BPO Metil Bromida
01218,IP Gula Kristal Mentah
01219,IP Besi atau Baja
01291,IP / IT / SPI Garam Iodisasi / Non Iodisasi
01292,PI Garam Industri/PI Garam Konsumsi
01294,IP / IT / SPI BPO Metil atau Non Metil Bromida
01295,IP/PI/IT Bahan Baku Plastik
01296,IP / IT / SPI Prekursor Non Farmasi
01297,IP / IT Besi Baja
01302,IT Bahan Peledak Industri (Komersial)
01304,IT BPO Non Metil Bromida
01306,IT Garam
01307,IT Intan Kasar
01308,IT Mesin Multifungsi dan Printer Berwarna
01309,IT Minuman Beralkohol
01310,IT Nitro Cellulose
01311,IT Prekursor Non Farmasi
01312,IT Perkakas Tangan
01313,IT Preparat Bau-bauan
01314,IT Sakarin dan Garamnya
01316,IT Besi atau Baja
01321,PI Bahan Baku Plastik
01399,IT Produk Tertentu
01403,PI Bahan Berbahaya
01405,PI Nitrocellulose
01406,PI Prekursor Non Farmasi
01407,PI Bahan Peledak Industri
01408,PI Cengkeh
01410,IP / SPI / IT Gula Kristal
01411,PI Intan Kasar
01412,SPI MMEA
01413,PI Mesin Multi Fungsi dan Printer Berwarna
01414,SPI Perkakas Tangan
01415,SPI Preparat Bau-bauan
01416,PI Sakarin
01417,PI Preparat Campuran Mengandung Alkohol
01418,PI Tabung gas 3 Kg
01421,PI Siklamat
01422,PI Beras
01425,PI BPO Metil Bromida
01426,PI BPO Non Metil Bromida
01427,SPI Produk Kehutanan
01501,Surat Pendaftaran Barang/Perkecualian SNI/NPB
01502,PI Gula Kristal Putih
01503,PI Barang Hibah
01504,PI Barang Modal Bukan Baru Pemakai Langsung
01505,PI Barang Impor Sementara
01506,PI Barang Modal Bukan Baru Rekondisi
01507,PI Pemasukan Barang Kembali
01508,PI Tanpa API & NPIK
01509,PI Tanpa NPIK
01510,PI Cakram Otik Polycarbonat
01511,PI Minyak dan Gas Bumi
01512,PI Minuman Beralkohol
01513,PI Pupuk Bersubsidi
01514,PI Garam Industri
01515,PI Barang Pindahan Duta Besar
01516,PI Tidak Reekspor barang ex Impor Sementara
